                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.834,                 2.3314,                 1.8849,                0.00175,                0.15802,                0.00101,                0.00034,                    nan,                    nan,                    nan,               0.000659,               0.000659,               0.000659
                      2,                 1.9084,                 2.0969,                 1.9591,                0.00434,                0.04717,                0.00155,                0.00039,                 3.7844,                 9.1741,                 6.3415,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.8971,                  2.065,                 1.9229,                0.06706,                 0.0967,                  0.028,                0.01095,                 2.5972,                 6.5688,                 2.7158,              0.0019677,              0.0019677,              0.0019677
                      4,                 1.8115,                 1.9469,                 1.8513,                0.22092,                0.23821,                0.13877,                0.05264,                 2.2661,                 4.4302,                 2.3573,              0.0019629,              0.0019629,              0.0019629
                      5,                 1.7647,                  1.837,                 1.7986,                0.45101,                0.26179,                0.23924,                0.09261,                 2.1495,                 3.4598,                 2.3262,              0.0019629,              0.0019629,              0.0019629
                      6,                 1.7088,                 1.7153,                 1.7512,                0.41595,                0.30425,                0.28713,                0.12188,                 2.1606,                 2.6499,                 2.2526,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.683,                   1.68,                 1.7408,                0.41483,                0.24764,                0.25102,                0.10778,                 2.0462,                 2.4647,                 2.0789,              0.0019381,              0.0019381,              0.0019381
                      8,                 1.6246,                 1.5679,                  1.693,                0.56108,                0.39858,                0.41463,                0.17176,                 1.9117,                 2.1664,                 1.9829,              0.0019258,              0.0019258,              0.0019258
                      9,                  1.609,                 1.5559,                 1.6839,                0.59062,                0.40831,                0.43034,                 0.1872,                 1.9784,                 2.0383,                 2.0032,              0.0019134,              0.0019134,              0.0019134
                     10,                 1.6054,                 1.5589,                 1.6786,                 0.5269,                 0.4316,                0.45303,                0.22099,                 1.7298,                 1.9306,                 1.8061,               0.001901,               0.001901,               0.001901
                     11,                 1.5856,                 1.5161,                 1.6657,                0.64109,                0.56451,                0.60345,                0.28816,                 1.6813,                 1.5595,                 1.7197,              0.0018886,              0.0018886,              0.0018886
                     12,                 1.5431,                  1.405,                 1.6227,                0.59361,                0.51651,                0.56432,                 0.2727,                 1.7627,                 1.6282,                 1.7584,              0.0018763,              0.0018763,              0.0018763
                     13,                  1.518,                 1.3881,                  1.616,                0.61144,                0.51651,                0.54955,                0.27098,                 1.7872,                 1.7432,                 1.8175,              0.0018639,              0.0018639,              0.0018639
                     14,                 1.4956,                  1.368,                  1.596,                0.67299,                0.50472,                 0.5832,                0.31225,                 1.6246,                 1.6619,                 1.7246,              0.0018515,              0.0018515,              0.0018515
                     15,                 1.5022,                 1.3482,                 1.6093,                0.62872,                0.59434,                 0.6089,                0.31822,                 1.6581,                 1.5276,                 1.7347,              0.0018391,              0.0018391,              0.0018391
                     16,                 1.4812,                 1.3262,                  1.587,                 0.6396,                0.54953,                0.58683,                0.29021,                 1.6349,                 1.6068,                 1.6971,              0.0018267,              0.0018267,              0.0018267
                     17,                 1.4856,                 1.3208,                 1.6099,                 0.6356,                0.51887,                0.57552,                0.29904,                 1.7103,                  1.576,                 1.7492,              0.0018144,              0.0018144,              0.0018144
                     18,                 1.4377,                 1.2499,                  1.556,                0.73879,                0.49528,                 0.6234,                0.32557,                 1.7137,                 1.5024,                 1.7397,               0.001802,               0.001802,               0.001802
                     19,                 1.4202,                 1.2437,                 1.5687,                0.68266,                0.53781,                0.62064,                0.33983,                 1.5592,                 1.4896,                 1.6696,              0.0017896,              0.0017896,              0.0017896
                     20,                 1.4223,                 1.2053,                 1.5387,                 0.6905,                0.60849,                0.68968,                0.35818,                 1.5749,                 1.3206,                 1.6338,              0.0017772,              0.0017772,              0.0017772
                     21,                 1.4399,                 1.2211,                 1.5683,                0.70091,                0.49764,                0.57727,                0.32381,                 1.5931,                  1.516,                 1.7008,              0.0017649,              0.0017649,              0.0017649
                     22,                 1.4184,                 1.2052,                 1.5534,                0.63907,                0.51179,                0.52348,                0.27768,                 1.6498,                 1.6476,                  1.747,              0.0017525,              0.0017525,              0.0017525
                     23,                 1.3928,                  1.193,                 1.5469,                 0.5893,                0.54717,                0.56289,                0.31081,                 1.6198,                 1.6028,                 1.7327,              0.0017401,              0.0017401,              0.0017401
                     24,                 1.3859,                 1.1557,                 1.5277,                0.63342,                0.44811,                0.51461,                0.28109,                 1.6913,                 1.8957,                 1.7751,              0.0017278,              0.0017278,              0.0017278
                     25,                 1.4117,                 1.1666,                 1.5451,                0.63101,                0.51626,                0.57053,                0.31828,                 1.6227,                 1.6678,                 1.7312,              0.0017154,              0.0017154,              0.0017154
                     26,                 1.3676,                 1.1316,                 1.5065,                0.67289,                 0.6113,                0.65003,                 0.3679,                 1.4638,                 1.3277,                 1.5948,               0.001703,               0.001703,               0.001703
                     27,                 1.3509,                 1.0828,                 1.5051,                 0.6701,                0.59404,                0.63926,                0.34996,                 1.5805,                 1.3457,                 1.7005,              0.0016906,              0.0016906,              0.0016906
                     28,                 1.2926,                 1.0318,                 1.4601,                0.64893,                0.57783,                0.61424,                0.34782,                 1.4589,                 1.4077,                 1.6016,              0.0016783,              0.0016783,              0.0016783
                     29,                  1.286,                  1.029,                 1.4655,                0.70343,                0.62972,                0.69553,                0.37634,                 1.5757,                 1.2061,                 1.6896,              0.0016659,              0.0016659,              0.0016659
