                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3473,                 1.7886,                 1.3718,                0.69208,                0.57369,                0.61584,                0.38418,                 1.3001,                 1.3804,                 1.4252,             0.00030087,             0.00030087,             0.00030087
                      2,                 1.3054,                 1.1995,                  1.339,                0.75337,                0.49731,                0.56513,                0.32939,                 1.4407,                 1.5168,                 1.5192,             0.00059722,             0.00059722,             0.00059722
                      3,                 1.3184,                 1.1497,                 1.3539,                 0.7874,                0.55255,                0.59265,                 0.3644,                 1.3852,                 1.3453,                 1.4905,             0.00088692,             0.00088692,             0.00088692
                      4,                 1.2719,                 1.0853,                 1.3235,                0.66698,                0.68095,                0.64622,                 0.3984,                 1.2747,                 1.4773,                 1.3866,               0.000879,               0.000879,               0.000879
                      5,                 1.2421,                0.99559,                 1.2969,                0.86932,                0.64799,                0.72705,                0.45209,                 1.2283,                0.95783,                 1.3356,               0.000879,               0.000879,               0.000879
                      6,                 1.2303,                0.96936,                 1.2868,                0.77577,                 0.6487,                0.71198,                0.43833,                 1.2628,                 1.0577,                  1.341,               0.000869,               0.000869,               0.000869
                      7,                 1.1919,                0.91692,                 1.2696,                0.89985,                0.67327,                0.74272,                0.47283,                 1.1935,                 0.8525,                 1.2911,               0.000859,               0.000859,               0.000859
                      8,                 1.1789,                0.87193,                 1.2588,                0.81563,                0.71132,                0.76913,                0.49216,                  1.193,                0.84141,                 1.2941,             0.00084901,             0.00084901,             0.00084901
                      9,                 1.1515,                0.86177,                 1.2514,                0.85929,                0.72673,                0.80777,                0.51709,                 1.1602,                0.77766,                 1.2774,             0.00083901,             0.00083901,             0.00083901
                     10,                 1.1419,                0.83546,                 1.2408,                0.78388,                 0.7876,                0.81455,                0.51729,                 1.1587,                0.73606,                 1.2751,             0.00082901,             0.00082901,             0.00082901
                     11,                 1.1168,                0.79724,                 1.2192,                0.84317,                0.74506,                0.79666,                0.52504,                  1.121,                0.72161,                 1.2484,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.1091,                0.76595,                 1.2183,                0.81798,                0.79703,                0.82645,                0.53733,                  1.122,                0.68378,                  1.247,             0.00080901,             0.00080901,             0.00080901
                     13,                 1.1044,                0.76848,                 1.2204,                0.82894,                0.76298,                0.80207,                0.51908,                 1.1403,                0.72462,                 1.2717,             0.00079901,             0.00079901,             0.00079901
                     14,                 1.0638,                0.73893,                 1.1986,                0.86159,                0.74896,                0.82065,                0.54855,                 1.0947,                 0.6596,                 1.2258,             0.00078901,             0.00078901,             0.00078901
                     15,                 1.0824,                0.73265,                 1.1993,                0.83698,                0.76786,                0.82502,                0.54168,                 1.0911,                0.64471,                 1.2352,             0.00077901,             0.00077901,             0.00077901
                     16,                 1.0546,                0.70561,                   1.19,                0.87243,                0.76248,                0.83053,                0.54732,                 1.1066,                 0.6543,                 1.2357,             0.00076901,             0.00076901,             0.00076901
                     17,                 1.0533,                0.69038,                 1.1862,                0.83501,                0.79621,                 0.8318,                0.55389,                 1.0817,                0.64145,                 1.2243,             0.00075902,             0.00075902,             0.00075902
                     18,                 1.0301,                0.67881,                 1.1793,                0.85505,                0.80445,                0.85852,                0.58067,                 1.0689,                0.63475,                 1.2031,             0.00074902,             0.00074902,             0.00074902
                     19,                 1.0243,                0.66131,                 1.1655,                0.86764,                0.80465,                0.84597,                0.56411,                 1.0693,                0.60736,                 1.1976,             0.00073902,             0.00073902,             0.00073902
                     20,                  1.018,                0.64853,                 1.1616,                0.87465,                 0.8071,                0.86081,                0.57895,                 1.0661,                0.62731,                 1.2049,             0.00072902,             0.00072902,             0.00072902
                     21,                 1.0055,                0.64553,                 1.1513,                0.91118,                0.79333,                0.86317,                0.58101,                 1.0459,                0.59252,                 1.1915,             0.00071902,             0.00071902,             0.00071902
                     22,                 1.0025,                 0.6402,                 1.1579,                0.91292,                0.80083,                 0.8693,                0.58622,                 1.0561,                0.58679,                 1.1959,             0.00070902,             0.00070902,             0.00070902
                     23,                0.99463,                0.60927,                 1.1441,                0.89757,                0.82455,                0.88441,                0.59761,                 1.0332,                0.57575,                 1.1787,             0.00069902,             0.00069902,             0.00069902
                     24,                0.98537,                0.62379,                 1.1427,                0.87566,                0.82135,                0.86226,                0.58905,                 1.0286,                 0.5772,                   1.17,             0.00068902,             0.00068902,             0.00068902
                     25,                0.99419,                0.62017,                 1.1483,                0.88354,                0.82155,                0.86456,                0.58324,                 1.0357,                0.57038,                 1.1768,             0.00067902,             0.00067902,             0.00067902
                     26,                0.97971,                 0.6169,                 1.1442,                0.92109,                0.81183,                 0.8804,                0.59481,                 1.0132,                0.55512,                 1.1656,             0.00066902,             0.00066902,             0.00066902
                     27,                0.95458,                0.60627,                  1.136,                0.91495,                0.81949,                0.88287,                0.60438,                 1.0229,                0.54674,                 1.1793,             0.00065902,             0.00065902,             0.00065902
                     28,                0.94646,                0.58654,                 1.1236,                0.86081,                 0.8464,                0.87751,                0.60765,                 1.0162,                0.54049,                 1.1591,             0.00064903,             0.00064903,             0.00064903
                     29,                0.94169,                0.57165,                 1.1124,                0.87843,                0.81989,                0.86949,                0.59758,                 1.0142,                0.55353,                 1.1584,             0.00063903,             0.00063903,             0.00063903
                     30,                0.94847,                0.57515,                  1.126,                0.87876,                0.82939,                0.88321,                  0.604,                 1.0164,                0.54677,                 1.1782,             0.00062903,             0.00062903,             0.00062903
                     31,                0.94032,                0.56935,                 1.1185,                 0.9368,                0.81615,                0.88208,                0.60811,                  1.003,                0.53155,                 1.1684,             0.00061903,             0.00061903,             0.00061903
                     32,                0.93797,                0.55146,                 1.1108,                 0.8638,                0.84223,                0.88495,                0.60553,                 1.0158,                0.52953,                 1.1766,             0.00060903,             0.00060903,             0.00060903
                     33,                0.93025,                0.56236,                  1.114,                0.88472,                0.82643,                0.87316,                 0.6058,                0.99947,                0.51858,                 1.1578,             0.00059903,             0.00059903,             0.00059903
                     34,                0.91879,                0.55059,                 1.1058,                0.91393,                0.84146,                0.89926,                0.62155,                 0.9976,                 0.5291,                 1.1538,             0.00058903,             0.00058903,             0.00058903
                     35,                0.91197,                0.55077,                 1.0998,                 0.9356,                0.82999,                0.89455,                0.62178,                 1.0055,                0.52233,                 1.1594,             0.00057903,             0.00057903,             0.00057903
                     36,                0.90998,                0.53571,                 1.1004,                0.92317,                0.85307,                0.90526,                 0.6335,                0.98814,                0.50469,                 1.1401,             0.00056903,             0.00056903,             0.00056903
                     37,                0.89951,                 0.5399,                 1.0949,                0.93446,                0.81457,                0.89229,                0.61859,                0.99291,                0.50356,                 1.1532,             0.00055904,             0.00055904,             0.00055904
                     38,                 0.9019,                0.52067,                  1.091,                0.93841,                0.83074,                0.89042,                0.61242,                0.98612,                0.50221,                  1.148,             0.00054904,             0.00054904,             0.00054904
                     39,                0.89175,                0.52405,                 1.0858,                0.93903,                0.83486,                0.88959,                0.62255,                0.98658,                0.50355,                 1.1444,             0.00053904,             0.00053904,             0.00053904
                     40,                0.87326,                0.51672,                 1.0808,                 0.8972,                0.84545,                0.89023,                0.62167,                 0.9794,                0.49249,                 1.1443,             0.00052904,             0.00052904,             0.00052904
                     41,                0.87356,                0.50424,                 1.0813,                0.93177,                0.84187,                0.89508,                0.63519,                 0.9644,                0.48179,                 1.1299,             0.00051904,             0.00051904,             0.00051904
                     42,                0.86102,                0.50318,                 1.0655,                0.94057,                0.84828,                0.89754,                0.62594,                0.98734,                0.49485,                  1.151,             0.00050904,             0.00050904,             0.00050904
                     43,                0.87148,                0.50209,                 1.0813,                0.92985,                0.85261,                0.90199,                 0.6263,                0.98209,                0.49751,                 1.1493,             0.00049904,             0.00049904,             0.00049904
                     44,                 0.8563,                0.49451,                 1.0679,                0.91681,                0.86638,                0.91169,                0.64053,                0.97868,                0.48463,                 1.1479,             0.00048904,             0.00048904,             0.00048904
                     45,                0.86361,                0.49187,                 1.0726,                0.90931,                0.85223,                0.89812,                0.62548,                0.97765,                0.49169,                 1.1551,             0.00047904,             0.00047904,             0.00047904
                     46,                0.85714,                0.48284,                 1.0653,                0.89627,                0.86541,                0.90607,                0.64032,                0.97151,                0.47654,                 1.1458,             0.00046904,             0.00046904,             0.00046904
                     47,                0.84214,                0.47704,                  1.062,                 0.9281,                0.86391,                0.90819,                0.64892,                0.96214,                0.48176,                 1.1317,             0.00045904,             0.00045904,             0.00045904
                     48,                0.83698,                0.48264,                 1.0607,                0.87361,                0.87878,                0.90527,                0.63595,                0.96347,                0.47826,                 1.1315,             0.00044905,             0.00044905,             0.00044905
                     49,                0.83421,                0.47446,                  1.051,                0.92305,                0.84798,                0.89605,                0.63907,                0.97015,                0.48155,                  1.142,             0.00043905,             0.00043905,             0.00043905
                     50,                0.82012,                0.46419,                 1.0454,                0.90875,                0.85027,                0.90994,                0.64218,                0.95912,                 0.4639,                  1.132,             0.00042905,             0.00042905,             0.00042905
                     51,                0.81927,                0.46276,                 1.0493,                0.92379,                0.84946,                0.91036,                0.64402,                0.95559,                0.47111,                 1.1339,             0.00041905,             0.00041905,             0.00041905
                     52,                0.80889,                 0.4606,                 1.0446,                0.90117,                0.85741,                0.89735,                0.63585,                0.96238,                0.47629,                 1.1305,             0.00040905,             0.00040905,             0.00040905
                     53,                0.80979,                0.45699,                   1.04,                0.91911,                0.86338,                0.91323,                0.65206,                0.95674,                0.45794,                 1.1272,             0.00039905,             0.00039905,             0.00039905
                     54,                0.79966,                0.44464,                 1.0384,                0.91622,                 0.8721,                0.90932,                0.65226,                0.95397,                0.46136,                 1.1303,             0.00038905,             0.00038905,             0.00038905
                     55,                0.80551,                0.45124,                  1.041,                0.93152,                0.86409,                0.91805,                0.65769,                0.94621,                0.45082,                 1.1186,             0.00037905,             0.00037905,             0.00037905
                     56,                0.79693,                0.43656,                 1.0347,                0.93062,                0.86158,                0.92604,                0.65352,                 0.9467,                0.45515,                 1.1137,             0.00036905,             0.00036905,             0.00036905
                     57,                0.79331,                0.44565,                 1.0323,                0.88898,                0.85525,                0.90546,                 0.6448,                0.94654,                0.44837,                 1.1206,             0.00035905,             0.00035905,             0.00035905
                     58,                0.78151,                0.43522,                 1.0216,                0.92606,                0.86407,                0.91222,                0.66026,                0.93356,                0.44582,                 1.1135,             0.00034906,             0.00034906,             0.00034906
                     59,                0.77587,                0.42671,                 1.0238,                0.94427,                0.85136,                0.91108,                0.65617,                0.93864,                0.45239,                 1.1118,             0.00033906,             0.00033906,             0.00033906
                     60,                0.76236,                0.41767,                  1.021,                0.89489,                 0.8841,                0.91387,                0.66093,                0.93288,                0.45549,                 1.1174,             0.00032906,             0.00032906,             0.00032906
                     61,                0.75768,                0.41579,                 1.0174,                 0.9276,                0.86271,                0.91812,                0.66196,                0.93365,                0.44608,                 1.1113,             0.00031906,             0.00031906,             0.00031906
                     62,                0.76154,                0.41397,                 1.0217,                 0.9225,                0.86299,                0.91247,                0.65657,                0.93981,                0.45671,                 1.1187,             0.00030906,             0.00030906,             0.00030906
                     63,                0.75591,                0.40709,                 1.0144,                0.90985,                0.86936,                0.90697,                0.65342,                0.93094,                0.44762,                 1.1144,             0.00029906,             0.00029906,             0.00029906
