                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87401,                 2.5913,                 2.6108,                 1.1765,                0.00333,                   0.96,                0.26438,                0.15876,                0.00306,                   0.88,                0.17515,                0.08764,                0.94823,                  4.406,                 3.6831,                 1.0595,                0.00032,                0.00032,                0.00032
                      2,                 0.8571,                 1.6751,                 1.7254,                 1.1053,                0.88406,                0.30608,                0.59153,                0.35188,                0.76811,                0.26608,                0.48568,                0.29943,                 1.0575,                 3.4899,                 3.5422,                 1.2921,             0.00065183,             0.00065183,             0.00065183
                      3,                0.94648,                 1.9496,                  1.652,                 1.1531,                0.83274,                0.19929,                0.23473,                0.05815,                0.42099,                   0.12,                0.17815,                0.09666,                 1.6361,                 6.4275,                 4.4755,                 2.1168,             0.00097525,             0.00097525,             0.00097525
                      4,                0.90875,                 1.7887,                 1.4683,                 1.1295,                0.28277,                   0.24,                0.10615,                0.03206,                0.31905,                   0.16,                0.12169,                0.05207,                 1.6404,                 5.4204,                 4.4618,                 2.0979,              0.0012903,              0.0012903,              0.0012903
                      5,                0.98353,                 1.7069,                  1.518,                 1.2026,                 0.2002,                0.19054,                0.06928,                0.02312,                0.13225,                   0.16,                0.05099,                 0.0149,                 1.7744,                 6.8633,                 10.095,                 2.3188,              0.0015968,              0.0015968,              0.0015968
                      6,                0.98317,                 1.5916,                 1.4276,                 1.1607,                0.77737,                   0.24,                0.29783,                0.14656,                0.77737,                   0.24,                0.31239,                0.13281,                  1.375,                 5.4345,                 4.5529,                 1.7865,              0.0018763,              0.0018763,              0.0018763
                      7,                 0.9986,                 1.8142,                  1.466,                 1.2026,                0.25873,                   0.48,                0.20477,                  0.106,                0.24701,                    0.4,                0.19046,                0.07066,                 1.4998,                 8.0926,                  7.362,                 1.8543,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.0508,                 1.7915,                  1.436,                 1.1978,                0.32213,                   0.64,                0.33649,                0.21149,                0.36482,                   0.44,                0.30098,                0.21404,                 1.4375,                 3.7195,                  4.815,                 1.3848,              0.0018515,              0.0018515,              0.0018515
                      9,                 0.9447,                 1.5283,                 1.3242,                 1.1597,                0.08551,                    0.4,                0.04564,                0.01721,                 0.0541,                   0.28,                0.02903,                0.01222,                 1.8004,                 4.1365,                 7.5543,                 2.0029,              0.0018267,              0.0018267,              0.0018267
                     10,                0.95478,                 1.5658,                 1.2375,                 1.1712,                0.33821,                    0.4,                0.25864,                 0.1655,                0.37946,                   0.28,                0.21956,                0.12786,                 1.7597,                 5.5212,                 2.5644,                  1.999,               0.001802,               0.001802,               0.001802
                     11,                0.90951,                 1.4977,                 1.1413,                 1.1289,                0.52345,                   0.32,                0.26078,                0.17199,                0.46384,                   0.28,                0.20852,                0.14016,                 1.4644,                 3.9132,                 3.7706,                  1.635,              0.0017772,              0.0017772,              0.0017772
                     12,                0.96734,                 1.5465,                 1.2003,                 1.1688,                0.35386,                   0.28,                0.30951,                0.16027,                0.14712,                   0.44,                0.20712,                0.14138,                 1.2065,                  3.219,                 2.7222,                 1.3216,              0.0017525,              0.0017525,              0.0017525
                     13,                0.90183,                 1.5178,                  1.117,                 1.1316,                0.46381,                0.55379,                0.45736,                0.31193,                0.41557,                   0.48,                0.38026,                0.28755,                 1.2206,                  3.962,                 2.3295,                 1.2917,              0.0017278,              0.0017278,              0.0017278
                     14,                 0.9165,                 1.3449,                 1.0495,                 1.1195,                0.63572,                   0.48,                0.52125,                0.38544,                0.63572,                   0.48,                0.52125,                0.36503,                  1.151,                 3.0077,                 2.5196,                 1.2696,               0.001703,               0.001703,               0.001703
                     15,                0.85298,                 1.3632,                0.99466,                 1.0924,                  0.677,                   0.48,                0.53894,                0.32574,                  0.677,                   0.48,                0.53024,                 0.3296,                 1.4049,                 3.3864,                 1.8214,                 1.6538,              0.0016783,              0.0016783,              0.0016783
                     16,                 0.8114,                 1.3535,                0.91214,                 1.0721,                0.58108,                   0.68,                0.61017,                0.39245,                0.72672,                   0.44,                0.50455,                0.34098,                 1.3108,                 3.7703,                 1.5411,                 1.4917,              0.0016535,              0.0016535,              0.0016535
